,County,ID
1183,Pennington,19
1184,Penobscot,230
1185,Peoria,31
1186,Perkins,3
1187,Perquimans,10
1188,Perry,514
1189,Pershing,63
1190,Person,39
1191,Petersburg,608
1192,Petersburg City,22
1193,Petroleum,11
1194,Pettis,3
1195,Phelps,74
1196,Philadelphia,7506
1197,Phillips,49
1198,Piatt,1
1199,Pickaway,112
1200,Pickens,1547
1201,Pickett,4
1202,Pierce,4991
1203,Pike,660
1204,Pima,14190
1205,Pinal,1420
1206,Pine,1307
1207,Pinellas,15775
1208,Pipestone,20
1209,Piscataquis,2
1210,Pitkin,26
1211,Pitt,187
1212,Pittsburg,3
1213,Pittsylvania,256
1214,Piute,46
1215,Placer,8311
1216,Plaquemines,8
1217,Platte,1040
1218,Plumas,885
1219,Plymouth,371
1220,Pocahontas,23
1221,Poinsett,71
1222,Pointe Coupee,23
1223,Polk,7135
1224,Pondera,84
1225,Pontotoc,14
1226,Pope,293
1227,Poquoson,2
1228,Portage,218
1229,Porter,361
1230,Portsmouth,842
1231,Portsmouth City,8
1232,Posey,23
1233,Pottawatomie,53
1234,Pottawattamie,578
1235,Potter,178
1236,Powder River,38
1237,Powell,337
1238,Power,50
1239,Poweshiek,174
1240,Powhatan,304
1241,Prairie,213
1242,Pratt,12
1243,Preble,98
1244,Prentiss,2
1245,Presque Isle,2
1246,Preston,103
1247,Price,19
1248,Prince Edward,92
1249,Prince George,464
1250,Prince George's,13179
1251,Prince Georges,204
1252,Prince William,7249
1253,Providence,3570
1254,Prowers,58
1255,Pueblo,699
1256,Pulaski,4628
1257,Putnam,2902
1258,Quay,51
1259,Queen Anne's,1247
1260,Queen Annes,14
1261,Queens,12556
1262,Quitman,2
1263,Rabun,11
1264,Racine,241
1265,Radford,20
1266,Raleigh,395
1267,Ralls,11
1268,Ramsey,12085
1269,Randall,5
1270,Randolph,422
1271,Rankin,517
1272,Ransom,16
1273,Rapides,101
1274,Rappahannock,19
1275,Ravalli,619
1276,Red Lake,6
1277,Red River,1
1278,Redwood,241
1279,Reeves,16
1280,Reno,3
1281,Rensselaer,1560
1282,Renville,331
1283,Republic,2
1284,Rhea,25
1285,Rice,1505
1286,Rich,7
1287,Richardson,6
1288,Richland,9842
1289,Richmond,2109
1290,Richmond City,7685
1291,Richmond County,80
1292,Riley,14
1293,Ringgold,6
1294,Rio Arriba,40
1295,Rio Blanco,47
1296,Rio Grande,23
1297,Ripley,66
1298,Ritchie,18
1299,Riverside,42176
1300,Roane,358
1301,Roanoke,3
1302,Roanoke City,337
1303,Roanoke County,1044
1304,Robertson,387
1305,Robeson,598
1306,Rock,286
1307,Rock Island,54
1308,Rockbridge,1014
1309,Rockcastle,20
1310,Rockdale,271
1311,Rockingham,2220
1312,Rockland,2781
1313,Rockwall,545
1314,Rogers,30
1315,Rolette,6
1316,Roosevelt,59
1317,Roscommon,25
1318,Roseau,115
1319,Rosebud,184
1320,Ross,49
1321,Routt,36
1322,Rowan,448
1323,Rush,50
1324,Rusk,17
1325,Russell,110
1326,Rutherford,899
1327,Rutland,26
1328,Sabine,2
1329,Sac,24
1330,Sacramento,46708
1331,Sagadahoc,70
1332,Saginaw,417
1333,Saguache,38
1334,Saint Bernard,3
1335,Saint Charles,18
1336,Saint Clair,20
1337,Saint James,1
1338,Saint Johns,15
1339,Saint Joseph,51
1340,Saint Lawrence,6
1341,Saint Louis,68
1342,Saint Louis City,5
1343,Saint Marys,4
1344,Saint Tammany,16
1345,Salem,407
1346,Saline,622
1347,Salt Lake,20059
1348,Saluda,171
1349,Sampson,153
1350,San Benito,1781
1351,San Bernardino,55018
1352,San Diego,48366
1353,San Francisco,6871
1354,San Jacinto,5
1355,San Joaquin,15919
1356,San Juan,503
1357,San Luis Obispo,5315
1358,San Mateo,11802
1359,San Miguel,52
1360,San Patricio,20
1361,Sanders,254
1362,Sandoval,62
1363,Sandusky,50
1364,Sangamon,82
1365,Sanilac,1
1366,Sanpete,387
1367,Santa Barbara,6617
1368,Santa Clara,27415
1369,Santa Cruz,6780
1370,Santa Fe,110
1371,Santa Rosa,2816
1372,Sarasota,9247
1373,Saratoga,2907
1374,Sargent,25
1375,Sarpy,618
1376,Sauk,54
1377,Saunders,8
1378,Sawyer,2
1379,Schenectady,933
1380,Schley,5
1381,Schoharie,114
1382,Schoolcraft,17
1383,Schuyler,15
1384,Schuylkill,482
1385,Scioto,32
1386,Scotland,70
1387,Scott,2396
1388,Scotts Bluff,2
1389,Screven,12
1390,Searcy,31
1391,Sebastian,94
1392,Sedgwick,823
1393,Seminole,4081
1394,Seneca,303
1395,Sequatchie,43
1396,Sequoyah,8
1397,Sevier,964
1398,Seward,81
1399,Shannon,1
1400,Sharp,30
1401,Shasta,3809
1402,Shawano,71
1403,Shawnee,107
1404,Sheboygan,75
1405,Shelby,5567
1406,Shenandoah,1184
1407,Sherburne,1574
1408,Sheridan,49
1409,Sherman,1023
1410,Shiawassee,107
1411,Shoshone,135
1412,Sibley,365
1413,Sierra,247
1414,Silver Bow,336
1415,Simpson,26
